Course Code,Course Name
MA1101,Calculus and Linear Algebra
CS1101,Foundations of Programming
PH1101/PH1201,Physics
CE1101/CE1201,Engineering Graphics
EE1101/EE1201,Electrical Sciences
HS1101,English for Professionals
MA1201,Probability Theory and Ordinary Differential Equations
CS1201,Data Structure
CH1201/CH1101,Chemistry
ME1201/ME1101,Mechanical Fabrication
ME1202/ME1102,Engineering Mechanics
IK1101,Indian Knowledge System (IKS)
CB2101,Introduction to Chemical Engineering
CB2102,Fluid Mechanics
CB2103,Heat Transfer
CB2104,Chemical Process Calculations
CB2105,Chemical Engineering Thermodynamics
HS21PQ,HSS Elective-I
CB2201,Mechanical Operations
CB2202,Mass Transfer-I
CB2203,Fundamentals of Biochemical Engineering
CB2204,Process Dynamics and Control
CB2205,Chemical Reaction Engineering-I
CB22PQ,IDE-I
CB3101,Mass Transfer-II
CB3102,Chemical Process Technology
CB3103,Process Equipment Design
CB3104,Chemical Reaction Engineering-II
CB3105,Chemical Process Modeling and Simulation
CB31PQ,IDE-II
CB3201,Process Plant Design and Economics
CB3202,Transport Phenomena
CB3203,Numerical Methods in Chemical Engineering
CB3204,AI/ML for Chemical Engineers
CB3205,Chemical Plant Safety and Hazards
CB32PQ,DE-I
CB41PQ,DE-II
XX41PQ,IDE-III
HS31PQ,HSS Elective-II
CB4198,Summer Internship
CB4199,Project – I
CB42PQ,DE-IV
CB4298,DE-VI
CB4299,Project – II
CB3211,Catalysis Science and Engineering
CB3212,Biopharmaceutical Downstream Processing
CB3213,Material Science and Engineering
CB3214,Introduction to Microfluidics Technology
CB4111,Industrial Pollution Control
CB4112,Introduction to Computational Biology
CB4113,Molecular Modeling and Simulation
CB4114,Electrochemical Energy Systems
CB4115,Fertilizer Technology
CB4116,Nanomaterials
CB4117,Combustion Engineering and Technology
CB4211,Membrane Separation
CB4212,Energy Storage: Technologies and Applications
CB4213,Process Integration
CB4214,Renewable Energy Sources
CB4215,Advanced Separation Processes
CB4216,Fluidization Engineering
CB4217,Energy Management
CB4218,Heterogeneous Catalysis: Fundamentals and Applications
CB4219,Polymer Science and Technology
CB4220,Petroleum Refinery Engineering
CB2280,Environmental Science and Engineering
CB3180,Introduction to Sustainable Engineering
CB4180,Bioprocess Engineering
CE2101,Geomatics Engineering
CE2102,Structural Mechanics
CE2103,Fluid Mechanics
CE2104,Geology for Engineers
CE2201,Structural Analysis
CE2202,Soil Mechanics
CE2203,Civil Engineering Materials
CE2204,Water Resources Engineering–I
CE2205,Numerical Methods in Civil Engineering
CE3101,Design of Reinforced Concrete Structures
CE3102,Foundation Engineering
CE3103,Transportation Engineering – I
CE3104,Environmental Engineering - I
CE3201,Design of Steel Structures
CE3202,Infrastructure Drawing and Estimation
CE3203,Construction Planning & Management
CE3204,Environmental Engg-II
CE3205,Water Resources Engineering - II
CE3206,Transportation Engineering - II
CE4101,Introduction to Bridge Engineering
CE4102,Prestressed and Precast Concrete Structures
CE4103,Fundamentals of Solid Mechanics
CE4104,Matrix Method for Structural Analysis
CE4105,Stochastic Hydrology
CE4106,Irrigation Engineering and Hydraulic Structures
CE4107,Elementary Soil Behaviour
CE4108,Fundamentals of Geoenvironmental Engg.
CE4109,Biogeotechnical Engineering
CE4110,Pavement Geotechnology
CE4201,Elements of Remote Sensing and GIS
CE4202,Introduction to Soil Structure Interaction
CE4203,Introduction to Underground Excavation
CE4204,Multiphysical Processes in fractured rocks
CE4205,Rock Engineering for Hydropower Projects
CE4206,Fundamentals of Forensic Geotech Engineering
CE4207,Ground Improvement for Civil Engineering Structures
CE4208,Solid Waste Engineering
CE4209,Air Pollution Engineering
CE4210,Introduction to Geotechnical Earthquake Engineering
CE4211,Structural Dynamics and Earthquake Engineering
CE4212,Rehabilitation of Structures
CE4213,Introduction to Structural Health Monitoring
CH2101,Organic Chemistry
CH2102,Inorganic Chemistry
CH2103,Introduction to Quantum Chemistry
CH2104,Fluid Mechanics
CH2105,Chemical Process Calculations
HS21PQ,HSS Elective-I
CH2201,Structure and function of Biomolecules
CH2202,Introduction to Organometallics
CH2203,Chemical Thermodynamics and Equilibrium
CH2204,Industrial Chemistry
CH2205,Chemical Technology Laboratory I
CH2206,IDE-I: Green Science and Technology
CH3101,Macromolecular Science and Engineering
CH3102,Design and Applications of Nanomaterials
CH3103,Chemical Kinetics and Electrochemistry
CH3104,Techniques for Chemical Analysis
CH3105,Chemical Technology Laboratory II
CH3106,IDE-II: Synthesis of Industrially Important Inorganic Molecules
CH3201,Medicinal Chemistry
CH3202,Environmental Science & Technology
